row_number(),Registration number,Reg_Num_f,Group_Number_f,Notes
83,25898,NA,NA,NA
84,25918,NA,NA,NA
85,26142,NA>33746>27487>27988>28198>28322>28487>29498>29995>31493>31598>31655>32817>32945>33379>33697>26277;+25729>26277;+33599>26277;+34054>26277;+27487>18450;+27487>26277;+27988>18450;+27988>26277;+28198>18450;+28198>26277;+28322>18450;+28322>26277;+28487>18450;+28487>26277;+29498>18450;+29498>26277;+31493>18450;+31493>26277;+32817>18450;+32817>26277;+32945>18450;+32945>26277;+33379>18450;+33379>26277;+33697>18450;+33697,NA>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>5;+15>5;+15>5;+15>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9>5;+9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
86,26163,NA>12221>27487>27891>27988>28198>28276>28322>28487>28840>29089>29172>29498>29775>29888>29995>30341>30428>31063>31493>31536>31598>31655>32265>32497>32539>32661>32795>32817>32827>32945>33011>33088>33114>33258>33370>33379>33387>33400>33538>33694>33697>33746>33762>33795>33869>33893>34190>34489>27487;+31896>27487;+23545>28198;+23957>28198;+23545>28487;+23957>28487;+23545>29498;+23957>29498;+23545>30945;+32602>30945;+33258>31493;+28761>33088;+28761>33258;+20214>33370;+20214>33370;+33520>33400;+28761>33520;+33370>33520;+32602>33520;+33258>33538;+20214>33697;+23957>33697;+23545>25866;+32292>29022;+32292>29290;+32292>30366;+32292>24359;+32292>25344;+32292>28322;+32292>29125;+32292>29126;+32292>29479;+32292>29480;+32292>29995;+32292>30076;+32292>30678;+32292>30721;+32292>31063;+32292>31314;+32292>31493;+32292>33087;+32292>33088;+32292>33671;+32292>33694;+32292>33768;+32292,NA>6>9>4>9>9>6>9>9>9>1>1>9>9>9>9>1>1>9>9>4>9>9>4>1>1>6>4>9>6>9>6>9>4>2>2>9>4>9>2>9>9>9>4>4>14 & 15>6>6>9>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>2 & 2;+2>2 & 2;+2>9;+4>9;+4>2;+2>2;+2>2;+2 & 2>9;+4>2 & 2;+2>2 & 2;+2>2 & 2;+2>2;+2>9;+4>9;+4>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15,"NA>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Spring wheat>NA>NA>Spring wheat>NA>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>2,4-D ester is preferred>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed"
87,26233,NA>27487>27988>28198>28322>28487>29498>29995>31493>31598>31655>32817>32945>33379>33697>33746,NA>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
88,26277,NA>16164>18022>27487>27988>28109>28198>28276>28322>28487>28840>29498>29775>29888>29995>31493>31536>31598>31655>33379>33697>33869>33893>34024>34173>34383>34489>25729;+26142>33599;+26142>34054;+26142>27487;+25729>27487;+29194>27487;+25137>27487;+27446>27487;+26142>27988;+27446>27988;+26142>28198;+25729>28198;+25137>28198;+29542>28198;+27446>28198;+26142>28322;+27446>28322;+26142>28487;+25729>28487;+25137>28487;+29542>28487;+27446>28487;+26142>29498;+25729>29498;+25137>29498;+29542>29498;+27446>29498;+26142>31493;+27446>31493;+26142>32817;+27446>32817;+26142>32945;+27446>32945;+26142>33379;+27446>33379;+26142>33697;+25729>33697;+29194>33697;+25137>33697;+27446>33697;+26142>32709;+33893,NA>6 & 4>6 & 4>9>9>6 & 4>9>6>9>9>9>9>9>9>9>9>4>9>9>9>9>14 & 15>6>4>6 & 4>6 & 4>9>15;+27>15;+27>15;+27>9;+15>9;+15>9;+3>9;+27>9;+27>9;+27>9;+27>9;+15>9;+3>9;+3>9;+27>9;+27>9;+27>9;+27>9;+15>9;+3>9;+3>9;+27>9;+27>9;+15>9;+3>9;+3>9;+27>9;+27>9;+27>9;+27>9;+27>9;+27>9;+27>9;+27>9;+27>9;+27>9;+15>9;+15>9;+3>9;+27>9;+27>2 & 2;+6,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Eastern Canada Only>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
89,26280,NA>25729>30461>31327>31432>27487>27988>28198>28322>28487>29498>29995>31493>31536>31598>31655>32817>32945>33379>33599>33697>33746>33869>34054>27487;+25728>27487;+25729>27988;+25728>27988;+25729>28198;+25728>28198;+25729>28322;+25728>28322;+25729>28487;+25728>28487;+25729>29498;+25728>29498;+25729>29995;+25728>29995;+25729>31493;+25728>31493;+25729>31598;+25728>31598;+25729>31655;+25728>31655;+25729>32817;+25728>32817;+25729>32945;+25728>32945;+25729>33379;+25728>33379;+25729>33599;+28072>33599;+25344>33599;+26920>33599;+28198>33599;+24359>33599;+25866>33599;+29124>33599;+29125>33599;+29888>33599;+33849>33599;+34720>33599;+27615>33599;+27946>33697;+25728>33697;+25729>33746;+25728>33746;+25729>34054;+25344>34054;+26920>34054;+28198>34054;+24359>34054;+25866>34054;+29124>34054;+29125>34054;+29888>34054;+33849>34054;+34720>34054;+27615>34054;+27946>25866;+25729>29022;+25729>29290;+25729>30366;+25729>24359;+25729>25344;+25729>29125;+25729>29126;+25729>29479;+25729>29480;+25729>30076;+25729>30678;+25729>30721;+25729>31063;+25729>31314;+25729>33087;+25729>33088;+25729>33671;+25729>33694;+25729>33768;+25729>29588;+25729>16279;+25729>23933;+25729>24359;+32542>25344;+32542>25866;+32542>26920;+32542>27487;+32542>27615;+32542>27764;+32542>27946;+32542>27988;+32542>28072;+32542>28198;+32542>28322;+32542>28486;+32542>28487;+32542>28608;+32542>28609;+32542>28840;+32542>28977;+32542>29022;+32542>29124;+32542>29125;+32542>29126;+32542>29290;+32542>29479;+32542>29480;+32542>29498;+32542>29588;+32542>29775;+32542>29841;+32542>29868;+32542>29888;+32542>29995;+32542>30076;+32542>30104;+32542>30366;+32542>30423;+32542>30516;+32542>30678;+32542>30721;+32542>31063;+32542>31090;+32542>31199;+32542>31314;+32542>31316;+32542>31493;+32542>31598;+32542>31655;+32542>31913;+32542>32181;+32542>32209;+32542>32228;+32542>32314;+32542>32457;+32542>32504;+32542>32532;+32542>32817;+32542>32945;+32542>33029;+32542>33087;+32542>33088;+32542>33337;+32542>33379;+32542>33400;+32542>33671;+32542>33675;+32542>33694;+32542>33697;+32542>33746;+32542>33768;+32542>33849;+32542>33850;+32542>33898;+32542>33940;+32542>33976;+32542>34044;+32542>34320;+32542>34489;+32542>34529;+32542>34674;+32542>34686;+32542>34720;+32542>34810;+32542>34847;+32542>34874;+32542>16279;+34054,NA>15>4>4>4>9>9>9>9>9>9>9>9>4>9>9>9>9>9>15>9>9>14 & 15>15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>9;+15>9;+15>9;+15>9;+15>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>7;+15>3;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>7;+15,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Western Canada Only>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
90,26396,NA,NA,NA
91,26406,NA,NA,NA
92,26488,NA,NA,NA
93,26705,NA>29463;+27802;+30914>29463;+27803;+30914>29463;+27804;+30914>29463;+29001;+30914>29463;+29002;+30914>29463;+29622;+30914>29463;+31669;+30914>29463;+32311;+30914>29463;+32912;+30914>29463;+34073;+30914>29463;+34156;+30914>29463;+34293;+30914>29463;+34294;+30914>29463;+29165;+30914>29463;+27818;+30914>29463;+27819;+30914>29463;+27820;+30914>29463;+29007;+30914>29463;+29264;+30914>29463;+29979;+30914>29463;+30460;+30914>29463;+31698;+30914>29463;+32882;+30914>29463;+33111;+30914>29463;+34240;+30914>29463;+34808;+30914>29463;+34813;+30914>29463;+34857;+30914>27802;+30914;+29463>27803;+30914;+29463>27804;+30914;+29463>29001;+30914;+29463>29002;+30914;+29463>29622;+30914;+29463>31669;+30914;+29463>32311;+30914;+29463>32912;+30914;+29463>34073;+30914;+29463>34156;+30914;+29463>34293;+30914;+29463>34294;+30914;+29463>29165;+30914;+29463>27818;+30914;+29463>27819;+30914;+29463>27820;+30914;+29463>29007;+30914;+29463>29264;+30914;+29463>29979;+30914;+29463>30460;+30914;+29463>31698;+30914;+29463>32882;+30914;+29463>33111;+30914;+29463>34240;+30914;+29463>34808;+30914;+29463>34813;+30914;+29463>34857;+30914;+29463,NA>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4;+4 & 4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4>4;+4 & 4;+4,NA>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application>Do not spray Altitude FX3 if temperatures of 5ºC or lower are forecasted within 3 days of application; Do not apply more than once per year; Do not graze or silage the treated crop within 14 days of application or cut for hay within 42 days of application
94,26722,NA>28276>31063>33088>33694>9528>14725>28296>33921>9516>9853>14730>20308>27858>30461>14718>9858>20214>24388>24359>25344>25866>26920>27487>27615>27764>27946>27988>28072>28198>28322>28486>28487>28608>28609>28840>28977>29022>29124>29125>29126>29290>29479>29480>29498>29588>29775>29841>29868>29888>29995>30076>30104>30366>30423>30516>30678>30721>31090>31199>31314>31316>31493>31598>31655>31913>32181>32209>32228>32314>32457>32504>32532>32817>32945>33029>33087>33337>33379>33400>33671>33675>33697>33746>33768>33849>33850>33898>33940>33976>34044>34320>34489>34529>34674>34686>34720>34810>34847>34874>9560>33869>31327;+27891>31432;+27891>9528;+34489>14725;+34489>28296;+34489>33921;+34489,NA>6>9>9>9>4>4>4>4>4>4>4>4>4>4>4>4>2>2>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>4>14 & 15>4;+4>4;+4>4;+9>4;+9>4;+9>4;+9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
